orig_utt_id,aug_utt_id,spk_id,gender,condition,cos_clean_aug,embedding_drift
BAC009S0096W0157,BAC009S0096W0157_noise10,S0096,0,noise_snr10,0.5732648315323664,0.4267351684676336
BAC009S0096W0157,BAC009S0096W0157_ch8k,S0096,0,channel_8k,0.6503086412671182,0.3496913587328818
BAC009S0096W0308,BAC009S0096W0308_noise10,S0096,0,noise_snr10,0.584648603314891,0.415351396685109
BAC009S0096W0308,BAC009S0096W0308_ch8k,S0096,0,channel_8k,0.6528485948127617,0.3471514051872383
BAC009S0096W0361,BAC009S0096W0361_noise10,S0096,0,noise_snr10,0.5821539452364873,0.41784605476351266
BAC009S0096W0361,BAC009S0096W0361_ch8k,S0096,0,channel_8k,0.6574181644393026,0.34258183556069743
BAC009S0096W0165,BAC009S0096W0165_noise10,S0096,0,noise_snr10,0.5927564199750659,0.4072435800249341
BAC009S0096W0165,BAC009S0096W0165_ch8k,S0096,0,channel_8k,0.6421893770848812,0.3578106229151188
BAC009S0096W0490,BAC009S0096W0490_noise10,S0096,0,noise_snr10,0.6133239573493762,0.38667604265062383
BAC009S0096W0490,BAC009S0096W0490_ch8k,S0096,0,channel_8k,0.6589938336276521,0.34100616637234793
BAC009S0096W0195,BAC009S0096W0195_noise10,S0096,0,noise_snr10,0.5991052447377031,0.4008947552622969
BAC009S0096W0195,BAC009S0096W0195_ch8k,S0096,0,channel_8k,0.6939152823385963,0.30608471766140366
BAC009S0096W0280,BAC009S0096W0280_noise10,S0096,0,noise_snr10,0.575551673909134,0.424448326090866
BAC009S0096W0280,BAC009S0096W0280_ch8k,S0096,0,channel_8k,0.5887603700889589,0.4112396299110411
BAC009S0096W0260,BAC009S0096W0260_noise10,S0096,0,noise_snr10,0.6526335412565626,0.3473664587434374
BAC009S0096W0260,BAC009S0096W0260_ch8k,S0096,0,channel_8k,0.6688151292676593,0.3311848707323407
BAC009S0096W0303,BAC009S0096W0303_noise10,S0096,0,noise_snr10,0.6134910887816168,0.38650891121838316
BAC009S0096W0303,BAC009S0096W0303_ch8k,S0096,0,channel_8k,0.6649489932322545,0.33505100676774546
BAC009S0096W0352,BAC009S0096W0352_noise10,S0096,0,noise_snr10,0.5502892677591312,0.44971073224086877
BAC009S0096W0352,BAC009S0096W0352_ch8k,S0096,0,channel_8k,0.6936225821751023,0.3063774178248977
BAC009S0096W0143,BAC009S0096W0143_noise10,S0096,0,noise_snr10,0.5641529503673817,0.43584704963261833
BAC009S0096W0143,BAC009S0096W0143_ch8k,S0096,0,channel_8k,0.6473466093178547,0.3526533906821453
BAC009S0096W0427,BAC009S0096W0427_noise10,S0096,0,noise_snr10,0.6700197391265238,0.3299802608734762
BAC009S0096W0427,BAC009S0096W0427_ch8k,S0096,0,channel_8k,0.7041625729813394,0.29583742701866056
BAC009S0096W0464,BAC009S0096W0464_noise10,S0096,0,noise_snr10,0.5058178851090575,0.49418211489094255
BAC009S0096W0464,BAC009S0096W0464_ch8k,S0096,0,channel_8k,0.6550977555030936,0.34490224449690643
BAC009S0096W0183,BAC009S0096W0183_noise10,S0096,0,noise_snr10,0.6589555674460889,0.34104443255391115
BAC009S0096W0183,BAC009S0096W0183_ch8k,S0096,0,channel_8k,0.6212023434507573,0.3787976565492427
BAC009S0096W0384,BAC009S0096W0384_noise10,S0096,0,noise_snr10,0.5805738856297582,0.4194261143702418
BAC009S0096W0384,BAC009S0096W0384_ch8k,S0096,0,channel_8k,0.6688384942881775,0.33116150571182246
BAC009S0096W0172,BAC009S0096W0172_noise10,S0096,0,noise_snr10,0.7145300265939104,0.2854699734060896
BAC009S0096W0172,BAC009S0096W0172_ch8k,S0096,0,channel_8k,0.7159501838614638,0.2840498161385362
BAC009S0096W0251,BAC009S0096W0251_noise10,S0096,0,noise_snr10,0.723483912862512,0.276516087137488
BAC009S0096W0251,BAC009S0096W0251_ch8k,S0096,0,channel_8k,0.6774411537519328,0.3225588462480672
BAC009S0096W0190,BAC009S0096W0190_noise10,S0096,0,noise_snr10,0.7106333303913779,0.2893666696086221
BAC009S0096W0190,BAC009S0096W0190_ch8k,S0096,0,channel_8k,0.7210636662856097,0.2789363337143903
BAC009S0096W0329,BAC009S0096W0329_noise10,S0096,0,noise_snr10,0.619757169247985,0.38024283075201504
BAC009S0096W0329,BAC009S0096W0329_ch8k,S0096,0,channel_8k,0.7668523711766911,0.23314762882330886
BAC009S0096W0474,BAC009S0096W0474_noise10,S0096,0,noise_snr10,0.6157918281840743,0.3842081718159257
BAC009S0096W0474,BAC009S0096W0474_ch8k,S0096,0,channel_8k,0.5937578618755318,0.4062421381244682
BAC009S0096W0264,BAC009S0096W0264_noise10,S0096,0,noise_snr10,0.4684247625715355,0.5315752374284646
BAC009S0096W0264,BAC009S0096W0264_ch8k,S0096,0,channel_8k,0.6573154656312602,0.3426845343687398
BAC009S0096W0313,BAC009S0096W0313_noise10,S0096,0,noise_snr10,0.678514593014964,0.321485406985036
BAC009S0096W0313,BAC009S0096W0313_ch8k,S0096,0,channel_8k,0.636012704927175,0.363987295072825
BAC009S0096W0216,BAC009S0096W0216_noise10,S0096,0,noise_snr10,0.681274209438286,0.318725790561714
BAC009S0096W0216,BAC009S0096W0216_ch8k,S0096,0,channel_8k,0.6058656638910732,0.3941343361089268
BAC009S0096W0218,BAC009S0096W0218_noise10,S0096,0,noise_snr10,0.6017207801800242,0.3982792198199758
BAC009S0096W0218,BAC009S0096W0218_ch8k,S0096,0,channel_8k,0.6837829283046879,0.3162170716953121
BAC009S0160W0279,BAC009S0160W0279_noise10,S0160,1,noise_snr10,0.7563808179103566,0.2436191820896434
BAC009S0160W0279,BAC009S0160W0279_ch8k,S0160,1,channel_8k,0.4595407797635705,0.5404592202364296
BAC009S0160W0134,BAC009S0160W0134_noise10,S0160,1,noise_snr10,0.708668820923871,0.29133117907612904
BAC009S0160W0134,BAC009S0160W0134_ch8k,S0160,1,channel_8k,0.47918030140440976,0.5208196985955902
BAC009S0160W0166,BAC009S0160W0166_noise10,S0160,1,noise_snr10,0.7481762541921799,0.2518237458078201
BAC009S0160W0166,BAC009S0160W0166_ch8k,S0160,1,channel_8k,0.36144490016993336,0.6385550998300666
BAC009S0160W0485,BAC009S0160W0485_noise10,S0160,1,noise_snr10,0.6860403349936921,0.3139596650063079
BAC009S0160W0485,BAC009S0160W0485_ch8k,S0160,1,channel_8k,0.49781974652288596,0.502180253477114
BAC009S0160W0194,BAC009S0160W0194_noise10,S0160,1,noise_snr10,0.6926494171495862,0.30735058285041383
BAC009S0160W0194,BAC009S0160W0194_ch8k,S0160,1,channel_8k,0.2713579210325298,0.7286420789674701
BAC009S0160W0451,BAC009S0160W0451_noise10,S0160,1,noise_snr10,0.8099587478704138,0.19004125212958622
BAC009S0160W0451,BAC009S0160W0451_ch8k,S0160,1,channel_8k,0.38149261093116765,0.6185073890688324
BAC009S0160W0325,BAC009S0160W0325_noise10,S0160,1,noise_snr10,0.7033236971691585,0.29667630283084145
BAC009S0160W0325,BAC009S0160W0325_ch8k,S0160,1,channel_8k,0.540215193617184,0.45978480638281605
BAC009S0160W0413,BAC009S0160W0413_noise10,S0160,1,noise_snr10,0.6412474021262731,0.35875259787372693
BAC009S0160W0413,BAC009S0160W0413_ch8k,S0160,1,channel_8k,0.4235114321690462,0.5764885678309538
